iter	Passed	Remaining
405	7059	10328
406	7075	10308
407	7090	10287
408	7104	10266
409	7119	10245
410	7135	10226
411	7155	10211
412	7171	10192
413	7190	10177
414	7208	10161
415	7224	10142
416	7242	10125
417	7261	10110
418	7276	10089
419	7293	10072
420	7310	10053
421	7326	10034
422	7344	10017
423	7360	9999
424	7377	9981
425	7396	9966
426	7416	9952
427	7439	9942
428	7457	9925
429	7474	9907
430	7488	9886
431	7502	9864
432	7516	9843
433	7531	9821
434	7546	9801
435	7567	9788
436	7583	9770
437	7604	9757
438	7621	9739
439	7636	9719
440	7653	9701
441	7672	9686
442	7687	9666
443	7701	9643
444	7715	9622
445	7732	9605
446	7752	9590
447	7774	9578
448	7790	9559
449	7807	9542
450	7824	9524
451	7840	9505
452	7855	9485
453	7870	9465
454	7887	9447
455	7901	9426
456	7917	9407
457	7936	9391
458	7955	9376
459	7975	9362
460	7991	9343
461	8007	9325
462	8022	9304
463	8037	9285
464	8052	9265
465	8066	9244
466	8083	9225
467	8100	9207
468	8116	9189
469	8133	9172
470	8148	9151
471	8168	9137
472	8184	9119
473	8200	9100
474	8218	9083
475	8234	9065
476	8250	9045
477	8265	9026
478	8284	9011
479	8303	8995
480	8321	8979
481	8339	8962
482	8354	8942
483	8369	8922
484	8389	8908
485	8403	8887
486	8420	8869
487	8435	8850
488	8456	8837
489	8473	8819
490	8494	8805
491	8512	8789
492	8530	8772
493	8548	8755
494	8563	8736
495	8577	8716
496	8592	8695
497	8608	8677
498	8623	8658
499	8636	8636
500	8657	8623
501	8677	8608
502	8693	8590
503	8717	8578
504	8736	8563
505	8754	8546
506	8768	8526
507	8782	8506
508	8798	8487
509	8815	8469
510	8833	8452
511	8851	8436
512	8866	8417
513	8883	8399
514	8904	8385
515	8919	8365
516	8934	8346
517	8950	8328
518	8965	8309
519	8980	8290
520	8996	8271
521	9010	8251
522	9028	8234
523	9048	8219
524	9066	8203
525	9085	8187
526	9098	8166
527	9114	8147
528	9130	8129
529	9145	8110
530	9160	8091
531	9176	8072
532	9192	8054
533	9211	8038
534	9230	8022
535	9249	8006
536	9266	7989
537	9281	7970
538	9298	7952
539	9314	7934
540	9330	7915
541	9346	7898
542	9361	7879
543	9374	7858
544	9391	7840
545	9411	7825
546	9427	7807
547	9447	7792
548	9468	7778
549	9483	7759
550	9497	7739
551	9512	7720
552	9527	7701
553	9541	7681
554	9556	7662
555	9571	7643
556	9589	7626
557	9607	7610
558	9625	7593
559	9648	7581
560	9664	7563
561	9679	7543
562	9693	7523
563	9709	7505
564	9725	7487
565	9740	7468
566	9756	7451
567	9774	7433
568	9789	7415
569	9809	7399
570	9826	7382
571	9844	7366
572	9859	7347
573	9875	7329
574	9890	7310
575	9905	7291
576	9920	7273
577	9937	7255
578	9954	7237
579	9972	7221
580	9989	7204
581	10007	7187
582	10025	7170
583	10041	7152
584	10056	7133
585	10076	7118
586	10089	7098
587	10106	7081
588	10126	7066
589	10144	7049
590	10161	7032
591	10179	7015
592	10199	7000
593	10213	6981
594	10234	6966
595	10249	6947
596	10265	6929
597	10281	6911
598	10296	6892
599	10311	6874
600	10332	6859
601	10352	6844
602	10374	6830
603	10394	6814
604	10413	6798
605	10431	6782
606	10446	6763
607	10460	6744
608	10475	6725
609	10496	6710
610	10512	6692
611	10527	6674
612	10544	6657
613	10563	6640
614	10584	6625
615	10602	6609
616	10621	6593
617	10641	6577
618	10660	6561
619	10681	6546
620	10695	6527
621	10711	6509
622	10732	6494
623	10749	6477
624	10763	6458
625	10777	6439
626	10795	6422
627	10813	6405
628	10829	6387
629	10848	6371
630	10865	6354
631	10886	6338
632	10903	6321
633	10920	6304
634	10941	6289
635	10957	6271
636	10974	6254
637	10990	6235
638	11004	6217
639	11026	6202
640	11042	6184
641	11062	6168
642	11081	6152
643	11098	6135
644	11113	6116
645	11130	6099
646	11149	6083
647	11164	6064
648	11179	6046
649	11195	6028
650	11212	6010
651	11229	5993
652	11245	5975
653	11267	5960
654	11285	5944
655	11302	5926
656	11318	5908
657	11338	5893
658	11354	5875
659	11372	5858
660	11387	5840
661	11406	5823
662	11421	5805
663	11437	5787
664	11455	5770
665	11475	5755
666	11494	5738
667	11516	5723
668	11532	5705
669	11548	5687
670	11564	5670
671	11578	5651
672	11593	5633
673	11608	5615
674	11628	5598
675	11658	5587
676	11676	5570
677	11695	5554
678	11718	5539
679	11733	5521
680	11747	5502
681	11762	5484
682	11778	5466
683	11793	5448
684	11810	5430
685	11827	5413
686	11844	5396
687	11861	5379
688	11877	5361
689	11893	5343
690	11912	5326
691	11927	5308
692	11941	5289
693	11959	5273
694	11974	5255
695	11989	5236
696	12004	5218
697	12019	5200
698	12037	5183
699	12053	5165
700	12072	5149
701	12089	5132
702	12109	5115
703	12125	5098
704	12140	5080
705	12157	5062
706	12172	5044
707	12186	5025
708	12202	5008
709	12221	4991
710	12242	4976
711	12260	4959
712	12284	4944
713	12300	4927
714	12315	4909
715	12331	4891
716	12344	4872
717	12362	4855
718	12378	4837
719	12392	4819
720	12407	4801
721	12429	4785
722	12445	4768
723	12465	4752
724	12479	4733
725	12496	4716
726	12513	4699
727	12529	4681
728	12544	4663
729	12558	4645
730	12575	4627
731	12592	4610
732	12613	4594
733	12636	4579
734	12652	4561
735	12667	4543
736	12683	4526
737	12697	4507
738	12712	4489
739	12729	4472
740	12743	4454
741	12759	4436
742	12778	4420
743	12794	4402
744	12815	4386
745	12832	4369
746	12847	4351
747	12861	4332
748	12875	4314
749	12888	4296
750	12902	4277
751	12918	4260
752	12933	4242
753	12948	4224
754	12966	4207
755	12982	4190
756	12999	4173
757	13019	4156
758	13035	4138
759	13049	4120
760	13064	4102
761	13079	4085
762	13095	4067
763	13109	4049
764	13125	4031
765	13145	4015
766	13162	3998
767	13181	3982
768	13197	3964
769	13214	3947
770	13231	3930
771	13247	3912
772	13261	3894
773	13276	3876
774	13290	3858
775	13311	3842
776	13330	3825
777	13348	3808
778	13365	3791
779	13385	3775
780	13399	3757
781	13417	3740
782	13432	3722
783	13449	3705
784	13464	3687
785	13481	3670
786	13499	3653
787	13519	3637
788	13538	3620
789	13553	3602
790	13574	3586
791	13592	3569
792	13608	3552
793	13625	3535
794	13640	3517
795	13660	3500
796	13673	3482
797	13690	3465
798	13707	3448
799	13725	3431
800	13740	3413
801	13761	3397
802	13779	3380
803	13796	3363
804	13813	3346
805	13830	3329
806	13846	3311
807	13861	3293
808	13879	3276
809	13898	3260
810	13915	3242
811	13929	3225
812	13944	3207
813	13964	3190
814	13979	3173
815	13993	3155
816	14009	3137
817	14025	3120
818	14039	3102
819	14054	3085
820	14069	3067
821	14087	3050
822	14104	3033
823	14122	3016
824	14137	2998
825	14154	2981
826	14167	2963
827	14180	2945
828	14196	2928
829	14216	2911
830	14231	2894
831	14245	2876
832	14261	2859
833	14282	2842
834	14298	2825
835	14318	2808
836	14334	2791
837	14356	2775
838	14375	2758
839	14390	2741
840	14407	2723
841	14422	2706
842	14436	2688
843	14449	2670
844	14467	2653
845	14485	2636
846	14503	2619
847	14517	2602
848	14530	2584
849	14552	2568
850	14569	2550
851	14584	2533
852	14604	2516
853	14620	2499
854	14634	2481
855	14652	2464
856	14670	2448
857	14688	2430
858	14704	2413
859	14724	2396
860	14740	2379
861	14754	2362
862	14770	2344
863	14784	2327
864	14801	2310
865	14818	2292
866	14835	2275
867	14853	2258
868	14870	2241
869	14888	2224
870	14906	2207
871	14923	2190
872	14940	2173
873	14955	2156
874	14970	2138
875	14984	2121
876	15002	2104
877	15021	2087
878	15040	2070
879	15054	2052
880	15071	2035
881	15086	2018
882	15107	2001
883	15123	1984
884	15137	1967
885	15152	1949
886	15168	1932
887	15183	1915
888	15198	1897
889	15217	1880
890	15237	1864
891	15255	1847
892	15272	1829
893	15287	1812
894	15307	1795
895	15322	1778
896	15337	1761
897	15353	1743
898	15373	1727
899	15390	1710
900	15407	1692
901	15426	1676
902	15444	1659
903	15461	1641
904	15477	1624
905	15494	1607
906	15514	1590
907	15529	1573
908	15544	1556
909	15558	1538
910	15573	1521
911	15592	1504
912	15611	1487
913	15633	1470
914	15652	1454
915	15670	1437
916	15688	1419
917	15710	1403
918	15724	1385
919	15742	1368
920	15757	1351
921	15770	1334
922	15785	1316
923	15800	1299
924	15816	1282
925	15835	1265
926	15853	1248
927	15869	1231
928	15893	1214
929	15909	1197
930	15923	1180
931	15937	1162
932	15951	1145
933	15963	1128
934	15977	1110
935	15995	1093
936	16012	1076
937	16030	1059
938	16046	1042
939	16066	1025
940	16083	1008
941	16097	991
942	16112	973
943	16126	956
944	16142	939
945	16155	922
946	16171	905
947	16189	888
948	16208	871
949	16223	853
950	16243	836
951	16261	819
952	16276	802
953	16291	785
954	16305	768
955	16319	751
956	16332	733
957	16347	716
958	16364	699
959	16379	682
960	16398	665
961	16416	648
962	16430	631
963	16451	614
964	16468	597
965	16487	580
966	16501	563
967	16515	545
968	16531	528
969	16545	511
970	16561	494
971	16584	477
972	16604	460
973	16621	443
974	16640	426
975	16658	409
976	16673	392
977	16687	375
978	16702	358
979	16717	341
980	16730	324
981	16749	307
982	16764	289
983	16786	272
984	16805	255
985	16824	238
986	16840	221
987	16855	204
988	16871	187
989	16887	170
990	16902	153
991	16920	136
992	16935	119
993	16951	102
994	16969	85
995	16988	68
996	17009	51
997	17023	34
998	17036	17
999	17054	0
