,origDate,origIntRate,origUPB,origLTV,origCLTV,origDebtIncRatio,WorstCreditScore,zipCode,fmacRate,fredRate,rateDiff,stateCat
73,2019-02-01,4.375,238000,60,60,33,711,928,4.46,2.7,-0.08499999999999996,4
74,2019-02-01,4.25,420000,80,80,33,703,114,4.46,2.7,-0.21,35
75,2019-02-01,4.5,396000,80,80,34,745,786,4.46,2.7,0.040000000000000036,45
76,2019-02-01,6.375,135000,71,71,35,657,687,4.46,2.7,1.915,30
77,2019-02-01,4.75,200000,80,80,35,765,190,4.46,2.7,0.29000000000000004,39
78,2019-02-01,4.25,484000,50,50,36,716,970,4.46,2.7,-0.21,38
79,2019-02-01,4.75,131000,70,70,36,801,291,4.46,2.7,0.29000000000000004,42
80,2019-02-01,4.5,182000,46,46,37,722,875,4.46,2.7,0.040000000000000036,33
81,2019-02-01,4.75,484000,34,34,37,795,113,4.46,2.7,0.29000000000000004,35
82,2019-02-01,4.75,154000,65,65,37,745,530,4.46,2.7,0.29000000000000004,50
83,2019-02-01,4.5,220000,49,49,39,777,907,4.46,2.7,0.040000000000000036,4
84,2019-02-01,5.25,280000,70,70,39,698,925,4.46,2.7,0.79,4
85,2019-02-01,5.75,101000,64,64,40,689,606,4.46,2.7,1.29,15
86,2019-02-01,4.75,173000,60,60,40,637,750,4.46,2.7,0.29000000000000004,45
87,2019-02-01,4.375,232000,36,36,41,780,928,4.46,2.7,-0.08499999999999996,4
88,2019-02-01,4.5,450000,50,50,41,779,940,4.46,2.7,0.040000000000000036,4
89,2019-02-01,4.75,212000,80,80,41,751,958,4.46,2.7,0.29000000000000004,4
90,2019-02-01,5.75,325000,73,73,41,676,125,4.46,2.7,1.29,35
91,2019-02-01,4.375,215000,54,54,41,821,974,4.46,2.7,-0.08499999999999996,38
92,2019-02-01,5.25,356000,80,80,43,691,956,4.46,2.7,0.79,4
93,2019-02-01,5.0,233000,80,80,43,747,750,4.46,2.7,0.54,45
94,2019-02-01,5.55,135000,63,63,44,687,852,4.46,2.7,1.09,3
95,2019-02-01,5.0,115000,42,42,44,711,64,4.46,2.7,0.54,6
96,2019-02-01,4.75,158000,70,70,44,737,342,4.46,2.7,0.29000000000000004,9
97,2019-02-01,4.75,234000,75,75,44,738,974,4.46,2.7,0.29000000000000004,38
98,2019-02-01,5.25,304000,80,80,45,786,289,4.46,2.7,0.79,28
99,2019-02-01,4.875,369000,74,74,46,726,935,4.46,2.7,0.415,4
100,2019-02-01,4.875,277000,79,79,46,774,64,4.46,2.7,0.415,6
101,2019-02-01,4.375,432000,80,80,46,779,970,4.46,2.7,-0.08499999999999996,38
102,2019-02-01,4.5,80000,38,38,47,808,170,4.46,2.7,0.040000000000000036,39
103,2019-02-01,5.375,318000,80,80,49,688,330,4.46,2.7,0.915,9
104,2019-02-01,4.875,100000,62,62,50,699,933,4.46,2.7,0.415,4
105,2019-02-01,4.5,160000,80,80,50,755,837,4.46,2.7,0.040000000000000036,14
106,2019-02-01,4.99,161000,69,69,45,726,173,4.46,2.7,0.5300000000000002,39
107,2019-02-01,4.5,290000,53,53,46,700,334,4.46,2.7,0.040000000000000036,9
108,2019-02-01,4.5,304000,58,58,46,765,18,4.46,2.7,0.040000000000000036,20
109,2019-02-01,4.99,103000,75,75,46,648,285,4.46,2.7,0.5300000000000002,28
110,2019-02-01,4.99,105000,69,69,46,729,183,4.46,2.7,0.5300000000000002,39
111,2019-02-01,4.5,466000,70,70,47,685,956,4.46,2.7,0.040000000000000036,4
112,2019-02-01,5.5,469000,74,74,47,643,921,4.46,2.7,1.04,4
113,2019-02-01,4.25,265000,80,80,47,748,925,4.46,2.7,-0.21,4
114,2019-02-01,4.75,285000,75,75,48,663,863,4.46,2.7,0.29000000000000004,3
115,2019-02-01,4.75,367000,80,80,48,721,330,4.46,2.7,0.29000000000000004,9
116,2019-02-01,4.75,160000,80,80,48,731,483,4.46,2.7,0.29000000000000004,23
117,2019-02-01,4.875,461000,53,53,48,805,117,4.46,2.7,0.415,35
118,2019-02-01,4.5,110000,64,64,49,799,726,4.46,2.7,0.040000000000000036,2
119,2019-02-01,4.375,256000,67,67,49,784,852,4.46,2.7,-0.08499999999999996,3
120,2019-02-01,4.75,190000,43,43,49,687,921,4.46,2.7,0.29000000000000004,4
121,2019-02-01,4.75,498000,58,58,49,815,945,4.46,2.7,0.29000000000000004,4
122,2019-02-01,4.56,430000,75,75,49,691,200,4.46,2.7,0.09999999999999963,7
123,2019-02-01,4.75,236000,42,42,49,670,76,4.46,2.7,0.29000000000000004,32
124,2019-02-01,4.875,71000,80,80,49,778,241,4.46,2.7,0.415,47
125,2019-02-01,4.99,428000,75,75,50,750,945,4.46,2.7,0.5300000000000002,4
126,2019-02-01,4.99,145000,54,54,50,803,975,4.46,2.7,0.5300000000000002,38
127,2019-02-01,4.75,265000,78,78,50,710,29,4.46,2.7,0.29000000000000004,41
128,2019-02-01,5.1,155000,78,78,28,771,648,4.46,2.7,0.6399999999999997,25
129,2019-02-01,4.99,458000,64,68,29,752,282,4.46,2.7,0.5300000000000002,28
130,2019-02-01,4.99,56000,80,80,39,786,790,4.46,2.7,0.5300000000000002,45
131,2019-02-01,4.99,179000,78,78,49,758,503,4.46,2.7,0.5300000000000002,13
132,2019-02-01,4.625,89000,23,23,37,797,924,4.46,2.7,0.16500000000000006,4
133,2019-02-01,4.625,200000,21,21,41,806,981,4.46,2.7,0.16500000000000006,49
134,2019-02-01,4.5,415000,80,80,47,781,69,4.46,2.7,0.040000000000000036,6
