iter	Passed	Remaining
403	7348	10841
404	7367	10823
405	7385	10805
406	7410	10796
407	7428	10779
408	7444	10756
409	7460	10735
410	7477	10716
411	7499	10703
412	7518	10686
413	7535	10666
414	7551	10645
415	7569	10625
416	7584	10603
417	7598	10579
418	7615	10559
419	7630	10536
420	7644	10513
421	7664	10498
422	7682	10479
423	7699	10460
424	7712	10434
425	7726	10410
426	7741	10388
427	7757	10367
428	7772	10345
429	7786	10321
430	7801	10299
431	7815	10275
432	7830	10253
433	7847	10233
434	7865	10216
435	7881	10195
436	7894	10170
437	7908	10148
438	7924	10126
439	7940	10105
440	7959	10089
441	7973	10066
442	7989	10045
443	8003	10022
444	8018	10000
445	8033	9979
446	8047	9955
447	8062	9933
448	8077	9912
449	8094	9893
450	8108	9870
451	8123	9848
452	8138	9827
453	8154	9806
454	8169	9785
455	8185	9765
456	8202	9745
457	8217	9724
458	8233	9704
459	8252	9687
460	8268	9668
461	8284	9647
462	8299	9625
463	8314	9604
464	8347	9603
465	8362	9582
466	8377	9561
467	8391	9539
468	8405	9516
469	8420	9495
470	8433	9472
471	8454	9457
472	8467	9434
473	8480	9410
474	8496	9390
475	8511	9369
476	8527	9349
477	8542	9328
478	8559	9309
479	8574	9288
480	8589	9267
481	8607	9250
482	8624	9231
483	8642	9213
484	8657	9193
485	8673	9173
486	8688	9152
487	8704	9132
488	8717	9109
489	8734	9090
490	8756	9077
491	8776	9061
492	8794	9044
493	8810	9024
494	8830	9008
495	8850	8993
496	8869	8976
497	8890	8962
498	8906	8942
499	8922	8922
500	8938	8903
501	8958	8887
502	8974	8867
503	8990	8847
504	9010	8831
505	9027	8813
506	9043	8793
507	9062	8776
508	9078	8757
509	9100	8743
510	9122	8729
511	9146	8717
512	9175	8710
513	9202	8701
514	9228	8690
515	9254	8680
516	9277	8667
517	9294	8648
518	9319	8637
519	9345	8626
520	9381	8625
521	9418	8624
522	9453	8621
523	9482	8613
524	9518	8611
525	9547	8603
526	9577	8595
527	9608	8589
528	9624	8569
529	9642	8550
530	9658	8530
531	9673	8509
532	9693	8493
533	9712	8475
534	9732	8459
535	9750	8440
536	9763	8418
537	9778	8397
538	9793	8376
539	9807	8354
540	9823	8334
541	9843	8318
542	9864	8302
543	9885	8286
544	9902	8267
545	9921	8249
546	9938	8230
547	9958	8213
548	9973	8193
549	9988	8172
550	10004	8152
551	10026	8137
552	10045	8120
553	10061	8100
554	10082	8084
555	10098	8064
556	10116	8045
557	10130	8024
558	10146	8004
559	10167	7988
560	10186	7971
561	10208	7955
562	10228	7939
563	10249	7923
564	10267	7905
565	10289	7889
566	10306	7871
567	10322	7850
568	10339	7832
569	10355	7812
570	10372	7793
571	10394	7777
572	10413	7759
573	10430	7741
574	10447	7721
575	10463	7702
576	10480	7683
577	10500	7666
578	10521	7650
579	10536	7629
580	10554	7611
581	10570	7591
582	10584	7570
583	10599	7550
584	10612	7528
585	10631	7511
586	10654	7496
587	10669	7476
588	10685	7456
589	10702	7437
590	10721	7419
591	10738	7400
592	10759	7385
593	10779	7367
594	10794	7347
595	10812	7329
596	10829	7310
597	10845	7290
598	10859	7269
599	10876	7251
600	10891	7231
601	10909	7212
602	10928	7194
603	10946	7177
604	10969	7161
605	10989	7145
606	11006	7125
607	11033	7113
608	11054	7097
609	11073	7080
610	11089	7060
611	11113	7045
612	11130	7026
613	11151	7010
614	11172	6994
615	11198	6980
616	11219	6964
617	11244	6950
618	11263	6932
619	11285	6916
620	11303	6898
621	11320	6879
622	11338	6861
623	11355	6842
624	11373	6824
625	11390	6804
626	11413	6789
627	11442	6777
628	11467	6763
629	11490	6748
630	11509	6730
631	11535	6716
632	11556	6700
633	11580	6685
634	11595	6665
635	11620	6650
636	11641	6634
637	11656	6614
638	11672	6594
639	11693	6577
640	11717	6562
641	11742	6548
642	11765	6532
643	11784	6514
644	11808	6499
645	11829	6482
646	11843	6462
647	11860	6442
648	11875	6422
649	11888	6401
650	11903	6381
651	11919	6361
652	11933	6341
653	11947	6321
654	11964	6301
655	11976	6280
656	11991	6260
657	12005	6240
658	12022	6220
659	12036	6200
660	12050	6180
661	12065	6160
662	12079	6140
663	12093	6119
664	12106	6098
665	12122	6079
666	12139	6060
667	12153	6040
668	12167	6020
669	12182	6000
670	12198	5981
671	12212	5960
672	12225	5940
673	12239	5920
674	12256	5901
675	12271	5881
676	12289	5863
677	12303	5843
678	12325	5826
679	12339	5806
680	12359	5789
681	12375	5770
682	12391	5751
683	12406	5731
684	12421	5712
685	12435	5691
686	12449	5671
687	12465	5652
688	12479	5633
689	12493	5612
690	12508	5593
691	12523	5574
692	12538	5554
693	12553	5535
694	12570	5516
695	12584	5496
696	12597	5476
697	12612	5456
698	12627	5437
699	12641	5417
700	12659	5399
701	12673	5379
702	12690	5361
703	12704	5341
704	12717	5321
705	12731	5301
706	12745	5282
707	12760	5262
708	12774	5243
709	12788	5223
710	12803	5204
711	12817	5184
712	12832	5165
713	12848	5146
714	12863	5127
715	12877	5107
716	12893	5088
717	12907	5069
718	12920	5049
719	12936	5030
720	12955	5013
721	12970	4994
722	12984	4974
723	12999	4955
724	13012	4935
725	13026	4916
726	13040	4896
727	13054	4877
728	13068	4857
729	13081	4838
730	13095	4818
731	13109	4799
732	13123	4780
733	13137	4761
734	13153	4742
735	13168	4723
736	13182	4704
737	13198	4685
738	13213	4666
739	13227	4647
740	13241	4628
741	13256	4609
742	13269	4589
743	13292	4573
744	13311	4556
745	13328	4538
746	13342	4518
747	13358	4500
748	13379	4483
749	13395	4465
750	13412	4447
751	13432	4429
752	13450	4411
753	13467	4393
754	13485	4376
755	13502	4357
756	13522	4340
757	13541	4323
758	13557	4304
759	13578	4287
760	13605	4272
761	13628	4256
762	13649	4239
763	13675	4224
764	13690	4205
765	13708	4187
766	13728	4170
767	13746	4152
768	13762	4134
769	13781	4116
770	13799	4098
771	13821	4081
772	13842	4064
773	13858	4046
774	13873	4027
775	13890	4009
776	13914	3993
777	13936	3976
778	13959	3960
779	13986	3944
780	14010	3928
781	14032	3911
782	14059	3896
783	14083	3880
784	14103	3862
785	14122	3845
786	14144	3828
787	14165	3810
788	14187	3794
789	14204	3775
790	14224	3758
791	14241	3740
792	14260	3722
793	14292	3708
794	14309	3689
795	14332	3673
796	14354	3656
797	14372	3638
798	14390	3620
799	14406	3601
800	14427	3584
801	14442	3565
802	14464	3548
803	14482	3530
804	14500	3512
805	14521	3495
806	14539	3477
807	14566	3461
808	14583	3443
809	14597	3423
810	14611	3405
811	14628	3386
812	14646	3368
813	14665	3351
814	14683	3333
815	14702	3315
816	14718	3296
817	14736	3278
818	14752	3260
819	14770	3242
820	14784	3223
821	14803	3205
822	14821	3187
823	14836	3168
824	14862	3152
825	14883	3135
826	14903	3117
827	14920	3099
828	14942	3082
829	14956	3063
830	14971	3044
831	14986	3026
832	15004	3008
833	15026	2990
834	15041	2972
835	15056	2953
836	15078	2936
837	15101	2919
838	15119	2901
839	15146	2885
840	15167	2867
841	15188	2850
842	15208	2832
843	15224	2813
844	15246	2796
845	15266	2778
846	15285	2761
847	15304	2743
848	15321	2724
849	15339	2706
850	15357	2688
851	15373	2670
852	15399	2653
853	15419	2636
854	15433	2617
855	15449	2599
856	15465	2580
857	15485	2562
858	15503	2544
859	15519	2526
860	15536	2508
861	15552	2489
862	15572	2472
863	15593	2454
864	15611	2436
865	15630	2418
866	15648	2400
867	15670	2383
868	15686	2364
869	15700	2346
870	15716	2327
871	15732	2309
872	15753	2291
873	15771	2273
874	15792	2256
875	15810	2237
876	15827	2219
877	15849	2202
878	15871	2184
879	15897	2167
880	15915	2149
881	15937	2132
882	15951	2113
883	15974	2096
884	15995	2078
885	16015	2060
886	16031	2042
887	16046	2023
888	16066	2006
889	16081	1987
890	16102	1969
891	16128	1952
892	16151	1935
893	16174	1917
894	16201	1900
895	16219	1882
896	16234	1864
897	16257	1846
898	16280	1829
899	16315	1812
900	16354	1797
901	16374	1779
902	16394	1761
903	16411	1742
904	16427	1724
905	16441	1705
906	16456	1687
907	16475	1669
908	16493	1651
909	16509	1632
910	16528	1614
911	16548	1596
912	16566	1578
913	16589	1560
914	16609	1542
915	16628	1524
916	16647	1506
917	16668	1488
918	16683	1470
919	16701	1452
920	16719	1434
921	16734	1415
922	16751	1397
923	16767	1379
924	16782	1360
925	16797	1342
926	16810	1323
927	16825	1305
928	16838	1286
929	16853	1268
930	16867	1250
931	16881	1231
932	16895	1213
933	16910	1194
934	16929	1176
935	16942	1158
936	16957	1140
937	16974	1121
938	16991	1103
939	17005	1085
940	17018	1067
941	17033	1048
942	17047	1030
943	17062	1012
944	17076	993
945	17092	975
946	17107	957
947	17121	939
948	17138	921
949	17157	903
950	17171	884
951	17186	866
952	17202	848
953	17219	830
954	17233	812
955	17248	793
956	17264	775
957	17280	757
958	17296	739
959	17311	721
960	17326	703
961	17345	685
962	17360	667
963	17375	648
964	17391	630
965	17408	612
966	17422	594
967	17438	576
968	17455	558
969	17474	540
970	17488	522
971	17501	504
972	17515	486
973	17529	467
974	17544	449
975	17560	431
976	17574	413
977	17592	395
978	17615	377
979	17630	359
980	17645	341
981	17662	323
982	17677	305
983	17694	287
984	17709	269
985	17723	251
986	17736	233
987	17750	215
988	17763	197
989	17781	179
990	17803	161
991	17820	143
992	17835	125
993	17848	107
994	17862	89
995	17876	71
996	17892	53
997	17907	35
998	17924	17
999	17937	0
